SUBJ, DF_COST, DF_BENEFIT, ZDF_COST, ZDF_BENEFIT
073113_DFFR_0, 0.88532, 0.6986, 0.68466, 0.045032
081013_DFFR_0, -1.8563, 0.62474, -1.4503, 0.80555
081413_DFFR_0, -0.4855, 0.18158, -1.4637, 1.2386
081413_DFFR_1, -1.308, 0.6986, -1.0769, 0.36214
081513_DFFR_0, 1.7078, -0.6309, 1.1971, -0.659
081713_DFFR_0, 0.19991, 0.3293, 0.28016, 0.046091
082813_DFFR_0, -1.1709, -1.8865, -0.91652, -1.5985
091113_DFFR_0, 0.74824, -0.55704, 0.62854, -0.62422
091813_DFFR_0, 1.7078, 1.4372, 1.7206, 0.81831
092513_DFFR_0, 0.74824, -0.40931, 0.93256, -0.25269
100213_DFFR_0, -0.074253, -0.26159, -0.076521, -0.06345
100913_DFFR_0, 0.062829, 1.5849, -0.50832, 2.3504
101613_DFFR_0, -0.62258, -0.33545, -0.78344, -0.26961
101713_DFFR_0, 0.88532, -1.2218, 1.2344, -1.1194
102013_DFFR_0, -0.21133, -0.48317, -0.2921, -0.26401
102313_DFFR_0, -1.4451, -2.182, -1.1969, -2.193
103013_DFFR_0, -0.62258, -0.40931, -0.11876, -0.45812
103013_DFFR_1, -1.1709, -0.70476, -1.2356, -0.65638
111313_DFFR_0, 1.2966, 0.84633, 1.3603, 0.32736
111613_DFFR_0, -0.074253, -0.040008, 0.19082, -0.33744
112013_DFFR_0, -0.34842, 1.2156, -0.3683, 1.3146
112013_DFFR_1, 0.74824, -0.6309, 0.67614, -0.68941
112113_DFFR_0, 0.88532, 0.6986, 1.3955, 1.0054
112313_DFFR_1, -0.4855, 1.4372, -0.81322, 0.87163
